id,geometry,value
170316720004,"POLYGON ((-87.678583 41.764755,-87.674745 41.764799,-87.674698 41.762977,-87.674605 41.759276,-87.67096 41.759362,-87.667319 41.759411,-87.66364 41.759454,-87.663607 41.757677,-87.66729 41.757631,-87.670901 41.757563,-87.673339 41.757524,-87.678466 41.757452,-87.678511 41.761131,-87.678557 41.762923,-87.678583 41.764755))",-1
170318331003,"POLYGON ((-87.666852 41.881455,-87.666084 41.881462,-87.657143 41.881652,-87.657057 41.879057,-87.661921 41.878978,-87.661853 41.876438,-87.666739 41.876351,-87.666819 41.878894,-87.666843 41.880797,-87.666852 41.881455))",-1
170318102003,"POLYGON ((-87.684949 42.022168,-87.684287 42.022162,-87.680429 42.02212,-87.68043 42.021889,-87.680448 42.019447,-87.684653 42.019485,-87.684949 42.022168))",-1
170317401003,"POLYGON ((-87.701083 41.698871,-87.696438 41.698938,-87.696152 41.69896,-87.695953 41.692537,-87.697267 41.695139,-87.700951 41.695219,-87.701083 41.698871))",354.0
170314301012,"POLYGON ((-87.576348 41.767981,-87.571456 41.768029,-87.571397 41.766262,-87.576302 41.766214,-87.576348 41.767981))",-1
170318164014,"POLYGON ((-87.863962 41.891741,-87.861453 41.891465,-87.861564 41.894399,-87.856621 41.893415,-87.856579 41.890333,-87.859553 41.890679,-87.859764 41.890703,-87.863949 41.891155,-87.863962 41.891741))",-1
170318090004,"POLYGON ((-87.727371 42.062483,-87.727333 42.064609,-87.72193 42.064545,-87.721885 42.058933,-87.725608 42.05889,-87.725636 42.057084,-87.727443 42.057063,-87.727371 42.062483))",-1
170312606002,"POLYGON ((-87.73538 41.877861,-87.730482 41.877918,-87.730313 41.873386,-87.732807 41.873978,-87.735222 41.87352,-87.73538 41.877861))",446.0
170313007001,"POLYGON ((-87.714999 41.851663,-87.713778 41.851677,-87.713627 41.851679,-87.712422 41.851707,-87.711143 41.851991,-87.710128 41.851706,-87.710019 41.848077,-87.714894 41.848033,-87.714978 41.850912,-87.714999 41.851663))",844.0
170318129002,"POLYGON ((-87.794007 41.872797,-87.792779 41.872661,-87.792901 41.876127,-87.787396 41.876223,-87.786797 41.876233,-87.786674 41.872585,-87.787359 41.872575,-87.789104 41.872369,-87.791002 41.8724,-87.794002 41.872648,-87.794007 41.872797))",-1
170311204002,"POLYGON ((-87.75533 41.977453,-87.754954 41.977222,-87.754734 41.977087,-87.755029 41.977848,-87.74808 41.977943,-87.747993 41.975341,-87.747912 41.972881,-87.749188 41.973667,-87.750387 41.973473,-87.755226 41.973426,-87.75533 41.977076,-87.75533 41.977453))",427.0
170318047053,"POLYGON ((-88.126608 42.049812,-88.124057 42.051645,-88.12453 42.054382,-88.120384 42.053809,-88.114282 42.052963,-88.115722 42.049311,-88.1156 42.047805,-88.123431 42.047499,-88.126179 42.047389,-88.126186 42.047486,-88.126608 42.049812))",-1
170318047104,"POLYGON ((-88.119127 42.029688,-88.116706 42.029901,-88.113722 42.032076,-88.11216 42.03198,-88.110104 42.028313,-88.109938 42.026204,-88.119158 42.025838,-88.119127 42.029688))",-1
170318261005,"POLYGON ((-87.539553 41.613793,-87.534719 41.613806,-87.532306 41.613813,-87.529892 41.613821,-87.529869 41.611188,-87.53954 41.611162,-87.539553 41.613793))",-1
